Pack	Name	Type	ID	Parent	Categories	Additive	Traits	Durability	Armor Durability	Repair Efficiency	Repair Bonus	Enchantment Value	Charging Value	Rarity	Harvest Tier	Harvest Speed	Block Reach	Attack Damage	Attack Speed	Attack Reach	Magic Damage	Ranged Damage	Draw Speed	Projectile Speed	Projectile Accuracy	Armor	Armor Toughness	Knockback Resistance	Magic Armor	
null	Lapis Lazuli	Jewelry Setting	silentgear:lapis_lazuli		Gem, Intermediate, Casting		Lucky III*																							
null	Quartz	Jewelry Setting	silentgear:quartz		Gem, Intermediate, Casting		Mighty II*																							
null	Dimerald	Jewelry Setting	silentgear:dimerald		Gem, Advanced		Kitty Vision*																							
null	Heliodor	Jewelry Setting	silentgems:heliodor		Gem, Casting, Advanced		Mighty IV*																							
null	Black Diamond	Jewelry Setting	silentgems:black_diamond		Gem, Casting, Advanced		Cure Wither																							
null	Sapphire	Jewelry Setting	silentgems:sapphire		Gem, Intermediate, Casting																									
null	Pearl	Jewelry Setting	silentgems:pearl		Gem, Casting, Advanced		Neptune's Blessing IV																							
null	White Diamond	Jewelry Setting	silentgems:white_diamond		Gem, Casting, Advanced		Moonwalker II*																							
null	Ammolite	Jewelry Setting	silentgems:ammolite		Gem, Casting, Advanced																									
null	Amethyst	Jewelry Setting	silentgear:amethyst		Gem, Intermediate, Casting		Cursed IV																							
null	Moldavite	Jewelry Setting	silentgems:moldavite		Gem, Intermediate, Casting																									
null	Citrine	Jewelry Setting	silentgems:citrine		Gem, Intermediate, Casting		Booster I																							
null	Turquoise	Jewelry Setting	silentgems:turquoise		Gem, Casting, Advanced		Leaping III																							
null	Kyanite	Jewelry Setting	silentgems:kyanite		Gem, Casting, Advanced																									
null	Topaz	Jewelry Setting	silentgems:topaz		Gem, Intermediate, Casting																									
null	Tanzanite	Jewelry Setting	silentgems:tanzanite		Gem, Intermediate, Casting		Twinkletoes IV																							
null	Diamond	Jewelry Setting	silentgear:diamond		Gem, Casting, Advanced		Bastion I*																							
null	Alexandrite	Jewelry Setting	silentgems:alexandrite		Gem, Intermediate, Casting		Cloaking																							
null	Opal	Jewelry Setting	silentgems:opal		Gem, Casting, Advanced		Hasty III																							
null	Garnet	Jewelry Setting	silentgems:garnet		Gem, Intermediate, Casting		Power II																							
null	Flint	Jewelry Setting	silentgear:flint		Rock, Basic																									
null	Rose Quartz	Jewelry Setting	silentgems:rose_quartz		Gem, Casting, Advanced																									
null	Ruby	Jewelry Setting	silentgems:ruby		Gem, Intermediate, Casting																									
null	Emerald	Jewelry Setting	silentgear:emerald		Gem, Casting, Advanced		Reach II																							
null	Carnelian	Jewelry Setting	silentgems:carnelian		Gem, Intermediate, Casting																									
null	Prismarine	Jewelry Setting	silentgear:prismarine		Gem, Advanced, Organic		Swift Swim III*																							
null	Aquamarine	Jewelry Setting	silentgems:aquamarine		Gem, Intermediate, Casting		Step Up																							
null	Iolite	Jewelry Setting	silentgems:iolite		Gem, Intermediate, Casting		Cure Poison																							
null	Peridot	Jewelry Setting	silentgems:peridot		Gem, Intermediate, Casting		Hearty II																							
null	Example	Jewelry Setting	silentgear:example		Intangible																									
null	Pink Wool	Lining	silentgear:wool/pink	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Magenta Wool	Lining	silentgear:wool/magenta	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Leather	Lining	silentgear:leather		Cloth, Basic, Organic		Flexible IV																							
null	Light Gray Wool	Lining	silentgear:wool/light_gray	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Light Blue Wool	Lining	silentgear:wool/light_blue	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Blue Wool	Lining	silentgear:wool/blue	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Slime	Lining	silentgear:slime		Intermediate, Slime, Organic		Bounce*																				+0.5			
null	Gray Wool	Lining	silentgear:wool/gray	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Wool	Lining	silentgear:wool		Cloth, Basic, Organic		Flexible II																					+0.1		
null	Purple Wool	Lining	silentgear:wool/purple	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Red Wool	Lining	silentgear:wool/red	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Fine Silk Cloth	Lining	silentgear:fine_silk_cloth		Intermediate, Cloth, Organic		Flexible IV																						+2	
null	Orange Wool	Lining	silentgear:wool/orange	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Lime Wool	Lining	silentgear:wool/lime	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Yellow Wool	Lining	silentgear:wool/yellow	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Green Wool	Lining	silentgear:wool/green	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	White Wool	Lining	silentgear:wool/white	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Brown Wool	Lining	silentgear:wool/brown	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Phantom Membrane	Lining	silentgear:phantom_membrane		Intermediate, Cloth, Organic		Light II*, Flexible III																							
null	Black Wool	Lining	silentgear:wool/black	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Example	Lining	silentgear:example		Intangible																									
null	Cyan Wool	Lining	silentgear:wool/cyan	Wool	Cloth, Basic, Organic		Flexible II																					+0.1		
null	Bamboo	Main	silentgear:bamboo		Basic, Wood, Organic		Flammable, Flexible II	65	9x		25%	15	0.7	4	bamboo (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Golden (Gold)	Main	silentgear:gold		Intermediate, Metal, Casting		Brilliant*, Malleable I, Soft III*	32	7x			22	1.2	50	gold (1)	12		0	0		4	0x	0.3x	1.1x	100%	11			8	
null	Sandstone	Main	silentgear:sandstone		Rock, Basic			117	6x		-10%	7	0.7	7	sandstone (1)	4		1	0.1			0x	-0.1x	1x	80%	5				
null	Lead	Main	silentgear:lead		Intermediate, Metal, Casting		Malleable II, Aquatic II*	260	14x			15	0.8	40	iron (2)	4		2	-0.4		2	1x	-0.3x			13			4	
null	Redstone	Main	silentgear:redstone		Intermediate, Dust, Metal, Casting	Yes	Imperial III*					-10%	+10%	30		12		4				2x								
null	Lapis Lazuli	Main	silentgear:lapis_lazuli		Gem, Intermediate, Casting			200	13x			17	1.3	30	lapis_lazuli (1.5)	5		2	0		3	0x	-0.1x	1x	80%	15			10	
null	Osmium	Main	silentgear:osmium		Intermediate, Metal, Casting		Malleable II	500	30x			12	1.1	35	iron (2)	10		4	0.1		2	1x	0x			17			4	
null	Quartz	Main	silentgear:quartz		Gem, Intermediate, Casting		Crushing III, Jagged II*	330	13x			10	1.2	40	quartz (2)	7		2	0.1			0x	0.1x	1x	100%	14			4	
null	Shulker Shell (Crushed Shulker Shell)	Main	silentgear:crushed_shulker_shell		Rock, Dust, Endgame	Yes	Eroded IV*	2500	50x			10	-0.15	91																
null	Paper	Main	silentgear:paper		Sheet, Basic, Organic		Flammable, Rustic III	0	2x			11	1	3												4				
null	Pink Wool	Main	silentgear:wool/pink	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Unknown Sheet Metal (Sheet Metal)	Main	silentgear:sheet_metal		Sheet			x0	x0.6																	x0.5	x0.5			
null	Uru Metal	Main	sgearmetalworks:uru_metal		Endgame, Metal, Casting, Infusing		Malleable VI, Indestructible, Aquatic I, Brilliant, Flame Ward, Cure Wither, Cure Poison, Sting resist I*	15000	50000x		50%	1500	1.5	200	netherite (4)	29		12	0		11	8x	0.5x	2x	250%	42	100		600	
null	Refined Iron	Main	silentgear:refined_iron		Intermediate, Metal		Malleable IV, Stellar I	512	20x		-15%	15	0.8	25	iron (2)	7		3	0		2	2x	0x			18	2		6	
null	Yellow Terracotta	Main	silentgear:terracotta/yellow	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Warped Wood	Main	silentgear:wood/warped	Wooden	Wood, Organic		Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Dimerald	Main	silentgear:dimerald		Gem, Advanced		Brittle I, Gold Digger II*	1776	36x			12	0.7	80	dimerald (3)	9		3	0.1		3	3x	0.1x	1x	120%	22	10		10	
null	Magenta Wool	Main	silentgear:wool/magenta	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Leather	Main	silentgear:leather		Cloth, Basic, Organic		Snow Walker*	0	5x			15	0.8	11												7			8	
null	Crimson Wood	Main	silentgear:wood/crimson	Wooden	Wood, Organic		Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Acacia Wood	Main	silentgear:wood/acacia	Wooden	Wood, Organic		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Heliodor	Main	silentgems:heliodor		Gem, Casting, Advanced		Chipping IV, Brittle II	1024	34x			10	1.2	60	heliodor (3)	14		2	0			1x	0x			16	4		8	
null	Light Gray Wool	Main	silentgear:wool/light_gray	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Black Diamond	Main	silentgems:black_diamond		Gem, Casting, Advanced		Flame Ward*, Sturdy II	1792	39x			12	1	55	black_diamond (4)	9		4	0			3x	0x			20	8		10	
null	Sapphire	Main	silentgems:sapphire		Gem, Intermediate, Casting		Aquatic II, Brittle II	512	28x			12	1.3	30	sapphire (2)	6		2	0			1x	0x			18	6		10	
null	Basalt	Main	silentgear:basalt		Rock, Basic		Brittle II, Chipping III	137	4x			6	0.7	7	basalt (1)	4		1	0			0x	-0.1x	1x	80%	6				
null	Cyan Terracotta	Main	silentgear:terracotta/cyan	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Light Blue Wool	Main	silentgear:wool/light_blue	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Blackstone	Main	silentgear:blackstone		Rock, Basic		Brittle I, Jagged II*, Hard II*	151	5x			4	0.6	9	blackstone (1)	4		1	0			0x	-0.2x	1x	80%	5				
null	Pearl	Main	silentgems:pearl		Gem, Casting, Advanced		Neptune's Blessing III	1024	44x			12	1.3	65	pearl (3)	8		2	0			2x	0x			20	12		16	
null	White Diamond	Main	silentgems:white_diamond		Gem, Casting, Advanced		Void Ward*, Sturdy II	2048	44x			14	1	70	white_diamond (4)	12		5	0			3x	0x			24	16		20	
null	Steel	Main	silentgear:steel		Intermediate, Metal, Casting		Malleable V	500	20x		15%	11	0.8	40	iron (2)	6		4	-0.2		1	2x	-0.2x			20	2		6	
null	Blue Wool	Main	silentgear:wool/blue	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Obsidian	Main	silentgear:obsidian		Rock, Casting, Advanced		Jagged III*, Crushing II	1024	13x		-25%	7	0.6	10	obsidian (1)	6		3	-0.4		2	0x	-0.4x	0.7x	70%	20	4		8	
null	Purple Terracotta	Main	silentgear:terracotta/purple	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Ammolite	Main	silentgems:ammolite		Gem, Casting, Advanced		Fractal IV, Brittle III	1024	40x			12	1.2	60	ammolite (3)	8		2	0			1x	0x			22	12		16	
null	Gray Wool	Main	silentgear:wool/gray	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Amethyst	Main	silentgear:amethyst		Gem, Intermediate, Casting		Renew I*	210	10x			16	1.3	35	amethyst (1.5)	6		1	0		3	1x	0x	1x	100%	15			10	
null	Orange Terracotta	Main	silentgear:terracotta/orange	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Azure Electrum	Main	silentgear:azure_electrum		Endgame, Metal, Casting		Malleable III, Accelerate III*, Light IV*	1259	61x		50%	37	1.5	109	azure_electrum (4)	29		7	0		11	3x	0x	2x	150%	19	8		19	
null	Platinum	Main	silentgear:platinum		Metal, Casting, Advanced		Malleable III, Soft II*	900	21x			14	1.2	80	diamond (3)	12		4	0		4	1x	0x			18	2		12	
null	Wooden (Wood)	Main	silentgear:wood		Wood, Organic		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Feather	Main	silentgear:feather		Basic, Organic		trait.silentgear.flutter I	0	2x			9	1.1	1												3				
null	Wool	Main	silentgear:wool		Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Purple Wool	Main	silentgear:wool/purple	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Glowstone	Main	silentgear:glowstone		Gem, Intermediate, Dust, Casting	Yes	Renew III						+15%	40		15		3	0.4			3x								
null	Moldavite	Main	silentgems:moldavite		Gem, Intermediate, Casting		Sharp III*, Brittle III	512	26x			10	1.2	45	moldavite (2)	6		4	0			3x	0x			16	4		8	
null	Stone	Main	silentgear:stone		Rock, Basic		Ancient I*	131	5x			5	0.5	4	stone (1)	4		1	0			0x	-0.2x	1x	80%	5				
null	Citrine	Main	silentgems:citrine		Gem, Intermediate, Casting		Ancient IV*, Brittle III	768	26x			10	1.2	45	citrine (2)	10		3	0			2x	0x			16	4		8	
null	Turquoise	Main	silentgems:turquoise		Gem, Casting, Advanced		Turtle*, Barrier Jacket V	1536	40x			15	1.3	45	turquoise (3)	8		3	0			2x	0x			15	6		20	
null	Tyrian Steel	Main	silentgear:tyrian_steel		Endgame, Metal, Casting		Sturdy III*, Void Ward*	3652	81x			16	1.1	100	tyrian_steel (4)	18		8	0		6	4x	0x	1.1x	110%	25	12		12	
null	Oak Wood	Main	silentgear:wood/oak	Wooden	Wood, Organic		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Lumium	Main	silentgear:lumium		Metal, Casting, Advanced		Malleable III, Refractive*	920	20x		15%	14	1.3	75	diamond (3)	15		4	0.2		3	2x	0x			18	4		10	
null	Netherwood	Main	silentgear:netherwood	Wooden	Wood, Organic		Flexible III, Jagged II*	72	12x	50%	10%	13	0.7	4	netherwood (0)	2		0	0.2			0x	0x	1x	80%	8			6	
null	Gray Terracotta	Main	silentgear:terracotta/gray	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Bismuth	Main	silentgear:bismuth		Intermediate, Metal		Malleable II, Lustrous II*	330	10x			12	0.9	35	iron (2)	5		2.5	0.1		3.5	1x	0x			16	2		6	
null	Brown Terracotta	Main	silentgear:terracotta/brown	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Enderium	Main	silentgear:enderium		Endgame, Metal, Casting		Malleable III	1200	34x		15%	13	1.2	80	netherite (4)	18		6	0		4	3x	0x			22	8		10	
null	Kyanite	Main	silentgems:kyanite		Gem, Casting, Advanced		Chilled IV*, Stellar II	1280	38x			17	1.4	60	kyanite (4)	12		4	0			2x	0x			20	8		14	
null	Blue Terracotta	Main	silentgear:terracotta/blue	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Red Wool	Main	silentgear:wool/red	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Pink Terracotta	Main	silentgear:terracotta/pink	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Titanium	Main	silentgear:titanium		Endgame, Metal		Malleable II, Hard IV*	1600	37x			12	1	80	netherite (4)	8		6	0		1	1x	-0.2x			24	8		4	
null	Crimson Iron	Main	silentgear:crimson_iron		Metal, Casting, Advanced		Malleable III, Hard II*, Heat-Resistant IV*	420	27x		50%	14	0.7	31	crimson_iron (3)	10		3	-0.1		3	2x	-0.1x	1x	110%	18	2		6	
null	Green Terracotta	Main	silentgear:terracotta/green	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Netherrack	Main	silentgear:netherrack		Rock, Basic, Organic		Eroded III*, Flexible II	142	5x		-20%	8	0.8	11	netherrack (1)	5		0.5	0		0.5	0.5x	0.1x	0.8x	100%	8			4	
null	Spruce Wood	Main	silentgear:wood/spruce	Wooden	Wood, Organic		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Topaz	Main	silentgems:topaz		Gem, Intermediate, Casting		Lustrous I*, Brittle II	512	21x			12	1.3	30	topaz (2)	8		2	0			1x	0x			15	4		6	
null	White Terracotta	Main	silentgear:terracotta/white	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Tanzanite	Main	silentgems:tanzanite		Gem, Intermediate, Casting		Light II*	768	28x			15	1.2	50	tanzanite (2)	9		2	0			2x	0x			18	5		10	
null	Diamond	Main	silentgear:diamond		Gem, Casting, Advanced		Brittle II, Lustrous I*	1561	33x			10	0.8	70	diamond (3)	8		3	0		1	2x	-0.2x	0.9x	110%	20	8		4	
null	Uranium	Main	silentgear:uranium		Metal, Casting, Advanced		Malleable II	800	20x		-15%	17	1.5	50	diamond (3)	6		2	0.1		2	0.5x	0.1x			13	1		3	
null	High-Carbon Steel	Main	silentgear:high_carbon_steel		Metal, Advanced		Malleable III	420	24x		5%	11	0.8	40	high_carbon_steel (2)	6		4	-0.2		1	2x	-0.2x			20	2		6	
null	Aluminum	Main	silentgear:aluminum		Intermediate, Metal, Casting		Malleable III, Soft II*, Synergistic I	365	15x			14	0.9	25	iron (2)	8		2	0.2		2	2x	0.2x			14	0.5		3	
null	Alexandrite	Main	silentgems:alexandrite		Gem, Intermediate, Casting		Imperial V*, Brittle I	1024	29x			15	1.3	45	alexandrite (3)	9		3	0			2x	0x			18	5		10	
null	Compressed Iron	Main	silentgear:compressed_iron		Metal, Advanced		Malleable II, Hard III*	1024	24x		-15%	12	0.8	40	diamond (3)	9		4	-0.2		1	3x	0x			20	2		4	
null	Fine Silk Cloth	Main	silentgear:fine_silk_cloth		Intermediate, Cloth, Organic		Snow Walker*	0	14x			14	0.9	40												6			14	
null	Terracotta	Main	silentgear:terracotta		Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Light Blue Terracotta	Main	silentgear:terracotta/light_blue	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Nickel	Main	silentgear:nickel		Intermediate, Metal, Casting		Malleable III, Adamant I*	380	17x			12	1	40	iron (2)	7		2.5	0.1		1	0.5x	0.1x			13			6	
null	Opal	Main	silentgems:opal		Gem, Casting, Advanced		Freeze-Resistant IV*, Enderbane II	1024	36x			10	1.3	60	opal (3)	13		2	0			1x	0x			18	4		8	
null	Red Terracotta	Main	silentgear:terracotta/red	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Refined Obsidian	Main	silentgear:refined_obsidian		Endgame, Metal, Casting		Malleable III, Hard IV*	2500	50x		-30%	40	0.8	70	diamond (3)	20		10	0.3		4	4x	0.2x			30	16		6	
null	Bismuth Brass	Main	silentgear:bismuth_brass		Intermediate, Metal		Malleable II, Lustrous II*	580	15x		15%	14	1.1	50	iron (2)	9		3	0.1		2	2x	0.2x			18	2		8	
null	Garnet	Main	silentgems:garnet		Gem, Intermediate, Casting		Critical Strike I	512	21x			12	1.3	40	peridot (2)	6		3	0			2x	0x			15	4		6	
null	Light Gray Terracotta	Main	silentgear:terracotta/light_gray	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Bone	Main	silentgear:bone		Crude, Basic, Organic		Chipping II	108	4x			5	0.9	8	bone (1)	4		2	0.1		1	1x	0x	0.9x	100%	5			1	
null	Iron	Main	silentgear:iron		Intermediate, Metal, Casting		Malleable III	250	15x			14	0.7	20	iron (2)	6		2	0		1	1x	0.1x	1x	110%	15			6	
null	Crimson Steel	Main	silentgear:crimson_steel		Endgame, Metal, Casting		Malleable V, Hard III*, Flame Ward*	2400	42x		50%	19	0.9	83	crimson_steel (4)	15		6	-0.1		6	3x	-0.1x	1x	130%	22	10		10	
null	Birch Wood	Main	silentgear:wood/birch	Wooden	Wood, Organic		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Flint	Main	silentgear:flint		Rock, Basic		Jagged III*	124	4x			3	0.8	6	flint (1)	5		2	-0.1			1x	-0.3x	1x	100%	4				
null	Red Sandstone	Main	silentgear:sandstone/red	Sandstone	Rock, Basic			117	6x		-10%	7	0.7	7	sandstone (1)	4		1	0.1			0x	-0.1x	1x	80%	5				
null	Rose Quartz	Main	silentgems:rose_quartz		Gem, Casting, Advanced		Critical Strike III, Brittle III	1024	34x			12	1.2	60	rose_quartz (4)	14		6	0			3x	0x			16	4		8	
null	Ruby	Main	silentgems:ruby		Gem, Intermediate, Casting		Imperial II*	1024	34x			12	1.3	30	ruby (2)	6		2	0			1x	0x			15	4		6	
null	Dark Oak Wood	Main	silentgear:wood/dark_oak	Wooden	Wood, Organic		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Aluminum Steel	Main	silentgear:aluminum_steel		Metal, Advanced		Malleable IV, Synergistic II*	660	18x		-15%	11	1	45	diamond (3)	8		4	0.1		1.5	2x	0x			18	2		6	
